OTU	16Sgene	genome	numberGenes	totalGeneLength
Consensus558	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus559	ref|NC_019968|:947634-949058|16S	Prevotella_dentalis_DSM_3688_uid184818	86	27865
Consensus56	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus560	ref|NC_018695|:3844718-3846238|16S	Burkholderia_phenoliruptrix_BR3459a_uid176370	80	31914
Consensus561	ref|NC_021281|:2155685-2157191|16S	Fusobacterium_4_8_uid205051	61	26223
Consensus562	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus563	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus564	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus565	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus566	ref|NC_009801|:4360914-4362454|16S	Escherichia_coli_E24377A_uid58395	114	39718
Consensus567	ref|NC_016630|:924199-925721|16S	Filifactor_alocis_ATCC_35896_uid46625	59	21866
Consensus568	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus569	ref|NC_013520|:103635-105185|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus57	ref|NC_021354|:1747947-1749490|16S	Erysipelothrix_rhusiopathiae_SY1027_uid206518	63	17846
Consensus570	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus571	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus572	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus573	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus574	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus575	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus576	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus577	ref|NC_007606|:3722468-3724009|16S	Shigella_dysenteriae_Sd197_uid58213	107	38718
Consensus578	ref|NC_015160|:2531255-2532766|16S	Odoribacter_splanchnicus_DSM_20712_uid63397	74	23099
Consensus579	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus58	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus580	ref|NC_015977|:3095887-3097421|16S	Roseburia_hominis_A2_183_uid73419	70	22540
Consensus581	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus582	ref|NC_021354|:1747947-1749490|16S	Erysipelothrix_rhusiopathiae_SY1027_uid206518	63	17846
Consensus583	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus584	ref|NC_015160|:2531255-2532766|16S	Odoribacter_splanchnicus_DSM_20712_uid63397	74	23099
Consensus585	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus586	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus587	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus588	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus589	ref|NC_007606|:3722468-3724009|16S	Shigella_dysenteriae_Sd197_uid58213	107	38718
Consensus59	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus590	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus591	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus592	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus593	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus594	ref|NC_022124|:39613-41129|16S	Prevotella_oral_taxon_299_F0039_uid45899	61	21878
Consensus595	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus596	ref|NC_006347|:5195504-5197040|16S	Bacteroides_fragilis_YCH46_uid58195	92	32840
Consensus597	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus598	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus599	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus6	ref|NC_011751|:4697139-4698680|ribosomal	Escherichia_coli_UMN026_uid62981	194	51046
Consensus60	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus600	ref|NC_009012|:3665491-3667011|16S	Clostridium_thermocellum_ATCC_27405_uid57917	71	23381
Consensus601	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus602	ref|NC_021030|:881290-882801|16S	Alistipes_shahii_WAL_8301_uid197175	53	8728
Consensus603	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus604	ref|NC_021018|:3070260-3072809|16S	Coprococcus_ART55_1_uid197176	34	8292
Consensus605	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus606	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus607	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus608	ref|NC_021018|:3070260-3072809|16S	Coprococcus_ART55_1_uid197176	34	8292
Consensus609	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus61	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus610	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus611	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus612	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus613	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus614	ref|NC_021018|:3070260-3072809|16S	Coprococcus_ART55_1_uid197176	34	8292
Consensus615	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus616	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus617	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus618	ref|NC_015968|:4749056-4750583|16S	Enterobacter_asburiae_LF7a_uid72793	109	39472
Consensus619	ref|NC_013520|:722770-724320|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus62	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus620	ref|NC_021281|:2155685-2157191|16S	Fusobacterium_4_8_uid205051	61	26223
Consensus621	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus622	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus623	ref|NC_014828|:2984437-2985928|16S	Ethanoligenens_harbinense_YUAN_3_uid46255	75	19151
Consensus624	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus625	ref|NC_017576|:494657-496193|16S	Streptococcus_gallolyticus_ATCC_43143_uid162103	76	27763
Consensus626	ref|NC_011047|:450385-451906|16S	Candidatus_Phytoplasma_mali_uid59087	39	12036
Consensus627	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus628	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus629	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus63	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus630	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus631	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus632	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus633	ref|NC_009801|:4360914-4362454|16S	Escherichia_coli_E24377A_uid58395	114	39718
Consensus634	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus635	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus636	ref|NC_016627|:4884776-4886142|16S	Clostridium_clariflavum_DSM_19732_uid82345	90	34255
Consensus637	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus638	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus639	ref|NC_012778|:2029863-2031381|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus64	ref|NC_013520|:103635-105185|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus640	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus641	ref|NC_015968|:4749056-4750583|16S	Enterobacter_asburiae_LF7a_uid72793	109	39472
Consensus642	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus643	ref|NC_021354|:1747947-1749490|16S	Erysipelothrix_rhusiopathiae_SY1027_uid206518	63	17846
Consensus644	ref|NC_010655|:1459761-1461265|16S	Akkermansia_muciniphila_ATCC_BAA_835_uid58985	63	17607
Consensus645	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus646	ref|NC_006347|:5195504-5197040|16S	Bacteroides_fragilis_YCH46_uid58195	92	32840
Consensus647	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus648	ref|NC_017312|:2986840-2988388|16S	Enterococcus_faecalis_62_uid159663	67	22471
Consensus649	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus65	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus650	ref|NC_021016|:44196-45716|16S	butyrate_producing_bacterium_SSC_2_uid197181	55	8707
Consensus651	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus652	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus653	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus654	ref|NC_019968|:947634-949058|16S	Prevotella_dentalis_DSM_3688_uid184818	86	27865
Consensus655	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus656	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus657	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus658	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus659	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus66	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus660	ref|NC_014828|:2984437-2985928|16S	Ethanoligenens_harbinense_YUAN_3_uid46255	75	19151
Consensus661	ref|NC_015052|:2303109-2304638|16S	Bifidobacterium_longum_infantis_157F_uid62693	71	23279
Consensus662	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus663	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus664	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus665	ref|NC_017481|:1818075-1819591|16S	Lactobacillus_salivarius_CECT_5713_uid162005	120	60114
Consensus666	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus667	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus668	ref|NC_012778|:2029863-2031381|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus669	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus67	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus670	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus671	ref|NC_017861|:855790-857247|16S	Prevotella_intermedia_17_uid163151	64	22227
Consensus672	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus673	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus674	ref|NC_013315|:3947905-3949529|16S	Clostridium_difficile_CD196_uid41017	111	53056
Consensus675	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus676	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus677	ref|NC_013520|:103635-105185|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus678	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus679	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus68	ref|NC_015172|:2254576-2256128|16S	Syntrophobotulus_glycolicus_DSM_8271_uid63343	69	23440
Consensus680	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus681	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus682	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus683	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus684	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus685	ref|NC_017576|:494657-496193|16S	Streptococcus_gallolyticus_ATCC_43143_uid162103	76	27763
Consensus686	ref|NC_013159|:2748393-2749919|16S	Saccharomonospora_viridis_DSM_43017_uid59055	58	18405
Consensus687	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus688	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus689	ref|NC_016640|:3508130-3509612|16S	Arthrospira_platensis_NIES_39_uid197171	46	11997
Consensus69	ref|NC_021018|:3070260-3072809|16S	Coprococcus_ART55_1_uid197176	34	8292
Consensus690	ref|NC_006449|:1614460-1616014|16S	Streptococcus_thermophilus_CNRZ1066_uid58221	85	32536
Consensus691	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus692	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus693	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus694	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus695	ref|NC_014532|:3655884-3657416|16S	Halomonas_elongata_DSM_2581_uid52781	81	23771
Consensus696	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus697	ref|NC_015311|:2480776-2482250|16S	Prevotella_denticola_F0289_uid65091	67	22859
Consensus698	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus699	ref|NC_013216|:3994264-3995822|16S	Desulfotomaculum_acetoxidans_DSM_771_uid59109	101	52581
Consensus7	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus70	ref|NC_010655|:1459761-1461265|16S	Akkermansia_muciniphila_ATCC_BAA_835_uid58985	63	17607
Consensus700	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus701	ref|NC_022582|:327975-329522|16S	Streptococcus_I_P16_uid224252	95	20254
Consensus702	ref|NC_015977|:3095887-3097421|16S	Roseburia_hominis_A2_183_uid73419	70	22540
Consensus703	ref|NC_022567|:1824508-1825965|16S	Adlercreutzia_equolifaciens_DSM_19450_uid223286	54	12763
Consensus704	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus705	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus706	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus707	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus708	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus709	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus71	ref|NC_016791|:4601376-4602779|16S	Clostridium_BNL1100_uid84307	88	42333
Consensus710	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus711	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus712	ref|NC_015964|:2078736-2080288|16S	Haemophilus_parainfluenzae_T3T1_uid72801	69	31563
Consensus713	ref|NC_014833|:3675459-3676957|16S	Ruminococcus_albus_7_uid51721	90	24529
Consensus714	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus715	ref|NC_021019|:134513-136043|16S	Eubacterium_cylindroides_T2_87_uid197177	45	8149
Consensus716	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus717	ref|NC_021016|:44196-45716|16S	butyrate_producing_bacterium_SSC_2_uid197181	55	8707
Consensus718	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus719	ref|NC_013520|:103635-105185|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus72	ref|NC_019745|:4840136-4841614|16S	Gloeocapsa_PCC_7428_uid183112	50	12818
Consensus720	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus721	ref|NC_009614|:2587720-2589229|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus722	ref|NC_012778|:2029863-2031381|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus723	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus724	ref|NC_021016|:44196-45716|16S	butyrate_producing_bacterium_SSC_2_uid197181	55	8707
Consensus725	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus726	ref|NC_017297|:3856160-3857659|16S	Clostridium_botulinum_F_230613_uid159513	93	45825
Consensus727	ref|NC_011751|:4697139-4698680|ribosomal	Escherichia_coli_UMN026_uid62981	194	51046
Consensus728	ref|NC_015968|:4749056-4750583|16S	Enterobacter_asburiae_LF7a_uid72793	109	39472
Consensus729	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus73	ref|NC_021016|:44196-45716|16S	butyrate_producing_bacterium_SSC_2_uid197181	55	8707
Consensus730	ref|NC_021019|:134513-136043|16S	Eubacterium_cylindroides_T2_87_uid197177	45	8149
Consensus731	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus732	ref|NC_010655|:1459761-1461265|16S	Akkermansia_muciniphila_ATCC_BAA_835_uid58985	63	17607
Consensus733	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus734	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus735	ref|NC_015311|:2480776-2482250|16S	Prevotella_denticola_F0289_uid65091	67	22859
Consensus736	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus737	ref|NC_017481|:1818075-1819591|16S	Lactobacillus_salivarius_CECT_5713_uid162005	120	60114
Consensus738	ref|NC_014833|:3675459-3676957|16S	Ruminococcus_albus_7_uid51721	90	24529
Consensus739	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus74	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus740	ref|NC_006513|:2621003-2622527|16S	Aromatoleum_aromaticum_EbN1_uid58231	70	22632
Consensus741	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus742	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus743	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus744	ref|NC_017297|:3856160-3857659|16S	Clostridium_botulinum_F_230613_uid159513	93	45825
Consensus745	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus746	ref|NC_013204|:3272238-3273734|16S	Eggerthella_lenta_DSM_2243_uid59079	61	18460
Consensus747	ref|NC_022524|:3784345-3785898|16S	Bacillus_infantis_NRRL_B_14911_uid222804	112	48206
Consensus748	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus749	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus75	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus750	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus751	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus752	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus753	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus754	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus755	ref|NC_015977|:3095887-3097421|16S	Roseburia_hominis_A2_183_uid73419	70	22540
Consensus756	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus757	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus758	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus759	ref|NC_015964|:2078736-2080288|16S	Haemophilus_parainfluenzae_T3T1_uid72801	69	31563
Consensus76	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus760	ref|NC_022124|:39613-41129|16S	Prevotella_oral_taxon_299_F0039_uid45899	61	21878
Consensus761	ref|NC_009515|:520016-521491|16S	Methanobrevibacter_smithii_ATCC_35061_uid58827	44	12442
Consensus762	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus763	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus764	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus765	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus766	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus767	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus768	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus769	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus77	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus770	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus771	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus772	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus773	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus774	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus775	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus776	ref|NC_009792|:4325568-4327114|16S	Citrobacter_koseri_ATCC_BAA_895_uid58143	144	43798
Consensus777	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus778	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus779	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus78	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus780	ref|NC_019968|:947634-949058|16S	Prevotella_dentalis_DSM_3688_uid184818	86	27865
Consensus781	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus782	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus783	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus784	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus785	ref|NC_013520|:103635-105185|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus786	ref|NC_010655|:1459761-1461265|16S	Akkermansia_muciniphila_ATCC_BAA_835_uid58985	63	17607
Consensus787	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus788	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
